customer_id,signup_date,industry,company_size,region,plan_type,acquisition_channel
100001,2024-01-13,Retail,Small Business,South,Basic,Referral
100002,2025-05-06,Retail,Mid-Market,West,Basic,Paid Search
100003,2025-12-24,Manufacturing,Mid-Market,West,Basic,Referral
100004,2023-02-10,Healthcare,Small Business,South,Pro,Organic Search
100005,2025-09-02,Retail,Small Business,South,Enterprise,Organic Search
100006,2023-12-29,Healthcare,Mid-Market,West,Pro,Partner
100007,2024-09-23,Technology,Small Business,South,Pro,Partner
100008,2024-07-01,Technology,Small Business,Northeast,Pro,Paid Search
100009,2024-11-22,Healthcare,Mid-Market,West,Pro,Paid Search
100010,2024-06-14,Finance,Mid-Market,West,Pro,Social
100011,2025-03-25,RETAIL,Small Business,West,Pro,Referral
100012,2025-12-02,Finance,Small Business,South,Enterprise,Referral
100013,2024-02-16,Professional Services,Small Business,West,Pro,Direct
100014,2024-12-17,Manufacturing,Small Business,West,Pro,Paid Search
100015,2023-03-20,Mfg,Enterprise,Midwest,Basic,Paid Search
100016,2023-07-01,Retail,Small Business,South,Pro,Referral
100017,2025-05-06,Technology,Small Business,Northeast,Pro,Paid Search
100018,2025-05-27,tech,Enterprise,South,Enterprise,Organic Search
100019,2024-04-18,Retail,Mid-Market,Midwest,Basic,Organic Search
100020,2025-09-29,Retail,Small Business,South,Basic,Partner
100021,2023-07-04,Finance,Mid-Market,West,Pro,Paid Search
100022,2024-02-12,Finance,Mid-Market,Northeast,Enterprise,Social
100023,2024-11-22,Education,Mid-Market,Northeast,Enterprise,Direct
100024,2025-09-25,Manufacturing,Enterprise,West,Pro,Organic Search
100025,2025-08-07,Retail,Small Business,West,Basic,Organic Search
100026,2023-06-06,Technology,Mid-Market,South,Basic,Paid Search
100027,2025-11-03,Technology,Small Business,Midwest,Basic,Paid Search
100028,2025-07-09,Healthcare,Enterprise,Midwest,Basic,Referral
100029,2023-01-25,Retail,Small Business,South,Enterprise,Referral
100030,2025-08-06,Finance,Small Business,West,Pro,Paid Search
