ticket_id,customer_id,created_date,severity,category,resolution_hours
1,100001,2024-02-12,Medium,How-to,
2,100001,2024-05-27,Low,How-to,
3,100001,2024-05-18,High,Billing,14.34
4,100001,2024-06-24,low,How-to,7.95
5,100001,2024-09-08,low,Integration,29.17
6,100001,2024-10-01,High,Billing,12.63
7,100001,2024-11-20,Low,Account,13.34
8,100001,2024-12-18,High,How-to,31.92
9,100001,2025-02-12,Medium,Billing,
10,100001,2025-10-26,Medium,Bug,5.04
11,100002,2025-05-17,Medium,How-to,12.48
12,100002,2025-09-09,Low,Billing,12.0
13,100002,2025-09-19,Low,Billing,7.32
14,100003,2025-12-20,Low,Bug,5.54
15,100004,2024-11-19,low,Billing,6.06
16,100004,2024-12-10,Low,Account,3.38
17,100004,2024-12-26,Low,Account,24.76
18,100004,2025-01-26,Low,How-to,4.18
19,100004,2025-04-23,Low,Bug,
20,100004,2025-04-24,Low,Bug,8.03
21,100004,2025-04-20,Low,Billing,13.29
22,100004,2025-06-16,Medium,Bug,7.23
23,100004,2025-08-21,Low,Bug,12.15
24,100004,2025-12-28,Low,Bug,8.06
25,100005,2025-10-26,Low,How-to,7.72
26,100005,2025-11-16,LOW,Bug,7.01
27,100005,2025-12-05,MED,Billing,6.34
28,100006,2024-01-25,Medium,How-to,23.4
29,100006,2025-01-24,High,Integration,17.62
30,100007,2024-09-03,Critical,How-to,27.63
31,100007,2025-07-03,LOW,Billing,15.52
32,100008,2024-12-21,Low,Bug,27.28
33,100008,2024-12-21,High,How-to,24.46
34,100008,2025-06-07,Medium,Bug,8.31
35,100008,2025-08-27,High,Billing,7.02
36,100009,2024-12-24,Low,Bug,9.85
37,100009,2025-08-03,High,Account,5.7
38,100010,2025-07-15,High,Bug,12.28
39,100010,2025-10-09,Medium,How-to,2.95
40,100011,2025-04-04,MEDIUM,Account,3.74
41,100011,2025-05-20,Low,Account,3.4
42,100011,2025-10-27,Critical,How-to,15.08
43,100012,2025-12-07,low,Integration,7.79
44,100013,2024-02-03,Low,Account,34.84
45,100013,2024-08-19,Low,Bug,5.01
46,100013,2024-10-26,Medium,Account,24.1
47,100013,2024-10-19,Low,Account,26.68
48,100013,2025-06-10,MED,How-to,9.55
49,100014,2025-02-27,Medium,Account,10.74
50,100014,2025-03-12,Medium,Billing,4.66
51,100014,2025-06-25,low,How-to,31.74
52,100015,2023-03-08,Low,Integration,1.5
53,100015,2023-04-28,Low,Account,19.04
54,100015,2023-04-16,Medium,Bug,20.21
55,100015,2023-05-12,Medium,How-to,6.39
56,100015,2023-06-15,Low,Bug,13.34
57,100015,2023-06-14,low,Integration,27.64
58,100015,2023-08-01,LOW,Billing,11.38
59,100015,2023-12-16,High,Bug,12.24
60,100015,2024-01-13,Low,Billing,13.19
61,100015,2024-04-27,Medium,How-to,12.83
62,100015,2024-06-12,Medium,How-to,13.13
63,100015,2024-06-10,Medium,Bug,14.28
64,100015,2024-07-08,High,Account,25.66
65,100015,2024-08-19,High,Billing,8.34
66,100015,2024-08-17,Medium,Bug,17.73
67,100015,2024-08-24,Low,Bug,15.49
68,100015,2024-08-20,Low,Account,13.55
69,100015,2024-11-21,Low,Integration,12.56
70,100015,2024-11-06,Low,How-to,10.56
71,100015,2025-01-05,Low,Account,1.56
72,100015,2025-01-10,Medium,How-to,10.28
73,100015,2025-02-19,Medium,Account,17.51
74,100015,2025-04-01,Medium,Bug,11.91
75,100015,2025-05-17,Medium,Bug,9.17
76,100015,2025-09-14,Medium,How-to,8.21
77,100015,2025-10-28,low,Billing,12.35
78,100015,2025-10-04,Medium,How-to,7.55
79,100015,2025-11-06,Medium,Billing,6.15
80,100015,2025-11-08,Critical,How-to,27.76
81,100015,2025-11-12,Low,Account,8.75
82,100015,2025-12-22,LOW,Bug,5.46
83,100015,2025-12-24,low,Billing,19.64
84,100015,2025-12-02,Low,Bug,10.99
85,100016,2023-09-26,Medium,How-to,7.46
86,100016,2024-09-24,low,Integration,12.03
87,100016,2024-11-05,Low,Integration,4.27
88,100016,2025-04-09,High,Bug,13.32
89,100016,2025-05-02,Medium,How-to,11.5
90,100016,2025-11-03,Low,Account,10.51
91,100017,2025-07-24,Medium,Billing,27.98
92,100018,2025-10-12,Medium,Bug,1.27
93,100018,2025-12-12,MED,Billing,25.63
94,100019,2024-04-26,Low,Bug,27.06
95,100020,2025-09-06,Medium,Bug,9.96
96,100020,2025-11-27,Low,Billing,10.6
97,100021,2023-09-19,LOW,Integration,4.04
98,100021,2024-03-19,Medium,How-to,11.66
99,100021,2024-04-25,Low,Billing,5.73
100,100021,2024-04-03,High,How-to,29.88
101,100021,2024-05-22,Low,How-to,6.55
102,100021,2024-07-09,MED,How-to,13.01
103,100021,2024-09-14,Critical,How-to,54.65
104,100021,2024-10-19,High,Account,
105,100021,2024-10-17,Low,Account,16.97
106,100021,2024-12-22,High,Bug,30.81
107,100022,2025-03-03,Low,Billing,5.83
108,100022,2025-07-21,Low,Billing,
109,100022,2025-10-17,Low,How-to,4.17
110,100022,2025-11-04,Low,Account,11.02
111,100023,2025-03-05,Low,Billing,0.86
112,100023,2025-04-22,low,How-to,14.33
113,100023,2025-08-07,Medium,Bug,2.33
114,100023,2025-08-20,Low,Billing,
115,100023,2025-09-02,Low,Billing,7.52
116,100024,2025-09-15,Low,Bug,30.49
117,100024,2025-09-17,Low,Billing,35.87
118,100024,2025-10-08,Low,Account,3.28
119,100024,2025-10-18,Low,Bug,10.9
120,100024,2025-11-23,Low,Bug,10.27
121,100024,2025-11-18,Medium,Bug,21.01
122,100025,2025-10-12,Low,Billing,20.13
123,100025,2025-10-16,Low,Integration,13.13
124,100026,2023-07-11,Low,Bug,10.9
125,100026,2023-09-10,Low,Bug,5.14
126,100026,2023-10-24,Low,Billing,17.29
127,100026,2024-02-23,Low,How-to,22.18
128,100026,2024-04-21,Medium,Bug,28.78
129,100026,2024-04-12,Medium,How-to,4.6
130,100027,2025-12-24,Low,Billing,3.94
131,100028,2025-08-02,High,Billing,25.52
132,100028,2025-09-25,medium,Bug,1.57
133,100028,2025-10-14,Low,How-to,21.94
134,100028,2025-12-15,Low,Integration,28.43
135,100029,2023-03-06,HIGH,Bug,20.9
136,100029,2023-09-22,High,Bug,9.64
137,100029,2023-12-26,Medium,Billing,7.4
138,100029,2024-04-18,Low,Bug,6.98
139,100029,2024-06-12,critical,Billing,35.12
140,100032,2024-08-09,Low,Bug,26.14
141,100032,2024-10-18,Low,Bug,11.98
142,100032,2025-01-07,LOW,Billing,7.58
143,100032,2025-04-03,Low,Account,21.59
144,100032,2025-06-14,Critical,Billing,52.34
145,100032,2025-07-28,LOW,How-to,34.76
146,100032,2025-10-24,LOW,Bug,5.54
147,100033,2024-11-23,Medium,Account,4.04
148,100034,2023-07-13,Low,Bug,27.11
149,100034,2023-07-27,Low,Account,0.74
150,100034,2023-09-05,High,Integration,36.14
151,100034,2023-10-14,Low,How-to,18.62
152,100034,2023-11-16,Low,How-to,5.23
153,100034,2023-11-20,Low,How-to,1.65
154,100034,2023-11-11,low,Integration,19.28
155,100034,2023-12-28,Low,How-to,3.69
156,100034,2024-01-13,CRIT,Bug,65.5
157,100034,2024-07-17,Medium,Bug,1.59
158,100034,2024-09-08,Low,Billing,11.44
159,100034,2024-11-03,Low,Bug,5.7
160,100034,2024-11-07,Low,How-to,8.21
161,100034,2024-12-26,Medium,How-to,7.05
162,100034,2025-01-18,High,How-to,47.86
163,100034,2025-02-22,Low,Bug,11.93
164,100034,2025-02-18,Low,Bug,18.43
165,100035,2025-05-23,Medium,Bug,25.7
166,100035,2025-08-15,Medium,How-to,13.11
167,100035,2025-08-12,Medium,How-to,15.01
168,100035,2025-10-07,MEDIUM,Bug,2.61
169,100035,2025-10-01,low,How-to,3.34
170,100035,2025-10-03,Low,Integration,22.31
171,100035,2025-10-03,low,Bug,13.56
172,100036,2025-03-07,Low,How-to,11.36
173,100036,2025-04-09,LOW,Billing,20.11
174,100036,2025-06-01,Low,How-to,13.94
175,100036,2025-06-22,LOW,Billing,14.89
176,100036,2025-11-06,LOW,Account,19.15
177,100036,2025-12-23,Medium,Integration,24.4
178,100037,2023-07-02,High,Billing,15.02
179,100037,2023-07-16,Low,How-to,39.17
180,100037,2023-10-02,Low,Bug,18.36
181,100037,2023-12-03,LOW,Billing,18.58
182,100037,2024-02-27,Low,Bug,23.0
183,100037,2024-08-03,Low,How-to,5.86
184,100037,2024-11-02,Medium,How-to,4.98
185,100037,2024-12-10,low,Billing,17.42
186,100037,2024-12-04,Low,How-to,6.42
187,100037,2025-04-04,Low,How-to,7.17
188,100037,2025-06-03,Medium,Bug,49.36
189,100037,2025-06-04,low,Bug,8.61
190,100037,2025-06-06,Medium,How-to,7.41
191,100037,2025-07-16,Medium,Account,1.88
192,100037,2025-07-17,MED,How-to,13.87
193,100037,2025-08-10,LOW,Account,
194,100037,2025-09-23,Low,Account,12.59
195,100037,2025-10-24,High,How-to,6.63
196,100037,2025-12-25,Low,How-to,34.23
197,100038,2025-12-04,Low,Integration,1.63
198,100040,2023-04-12,HIGH,Billing,11.19
199,100040,2023-08-20,Low,Bug,11.3
200,100040,2023-09-10,Low,How-to,7.85
201,100040,2023-10-19,high,Billing,12.71
202,100040,2023-11-24,Low,Billing,7.14
203,100040,2023-11-27,LOW,Bug,11.55
204,100040,2023-12-21,High,Billing,12.21
205,100040,2024-02-28,Low,How-to,2.92
206,100040,2024-03-05,low,Bug,6.59
207,100040,2024-04-11,Low,How-to,15.01
208,100040,2024-05-24,Low,Billing,20.88
209,100040,2024-06-20,Medium,Billing,6.4
210,100040,2024-06-22,LOW,How-to,46.49
211,100040,2024-06-03,Medium,Billing,18.14
212,100040,2024-06-24,Medium,Bug,6.41
213,100040,2024-08-10,Medium,How-to,2.69
214,100040,2024-08-15,Low,Billing,18.67
215,100040,2024-10-02,low,Billing,31.87
216,100040,2024-10-15,LOW,How-to,1.27
217,100040,2025-01-17,Low,How-to,16.98
218,100040,2025-03-01,High,Bug,6.42
219,100040,2025-03-11,High,Account,26.74
220,100040,2025-03-28,High,Bug,14.11
221,100040,2025-04-28,Low,Account,7.15
222,100040,2025-05-10,Low,Bug,25.46
223,100040,2025-06-06,High,Account,5.48
224,100040,2025-06-27,Low,Billing,14.02
225,100040,2025-08-27,Low,How-to,20.55
226,100040,2025-08-24,medium,How-to,4.44
227,100040,2025-09-14,CRIT,Account,54.21
228,100040,2025-10-20,Medium,How-to,27.77
229,100040,2025-11-21,Low,How-to,3.51
230,100041,2023-04-01,Medium,Account,13.95
231,100041,2024-01-20,Medium,How-to,11.89
232,100041,2024-05-15,HIGH,Account,2.22
233,100041,2024-07-03,High,Billing,11.99
234,100041,2024-07-27,Low,Bug,14.46
235,100041,2024-12-04,High,Integration,10.76
236,100041,2025-01-22,medium,Billing,12.73
237,100041,2025-02-17,Low,Integration,2.89
238,100041,2025-02-02,Low,Account,13.2
239,100041,2025-05-12,Medium,Bug,5.61
240,100041,2025-05-22,medium,Bug,10.76
241,100041,2025-07-20,High,How-to,6.34
242,100041,2025-09-24,Medium,Billing,7.1
243,100041,2025-09-22,Medium,Billing,6.26
244,100041,2025-11-10,High,Bug,7.42
245,100042,2025-06-01,LOW,How-to,19.43
246,100042,2025-06-13,Critical,Billing,12.94
247,100043,2025-07-25,Medium,Billing,9.45
248,100044,2023-01-11,Medium,How-to,28.77
249,100044,2023-03-17,Medium,Billing,7.48
250,100044,2023-09-18,Low,How-to,15.03
251,100044,2023-09-08,Low,Billing,5.02
252,100044,2023-11-14,low,How-to,6.28
253,100044,2023-12-10,LOW,How-to,11.87
254,100044,2024-01-09,Low,How-to,5.57
255,100044,2024-05-14,Medium,Bug,4.22
256,100044,2024-05-04,Low,How-to,39.02
257,100044,2024-06-23,Low,Bug,13.2
258,100044,2024-07-25,Medium,Billing,10.74
259,100044,2024-07-09,Low,How-to,6.3
260,100044,2024-07-24,low,Account,15.86
261,100044,2024-08-02,Medium,Billing,11.83
262,100044,2024-09-17,Low,Billing,16.53
263,100044,2024-12-21,high,Bug,11.93
264,100044,2025-01-27,Medium,How-to,23.77
265,100044,2025-04-16,medium,Integration,11.03
266,100044,2025-10-25,Low,Billing,27.12
267,100045,2024-03-05,Low,Account,13.4
